"ID","Type de requête","Requête client","Catégorie","Index","Produit 1","Prix 1","Justification 1","Produit 2","Prix 2","Justification 2","Produit 3","Prix 3","Justification 3","Audio_Français","Audio_Yoruba","Transc_origin"
"11","Recherche directe","Je veux un jeu d'awalé vous en proposez ?","Art africain","288, 287, 286","Jeu d’Awalé en ébène et aubier","49.0 €","Awalé en ébène et aubier","Jeu d’Awalé en teck rouge","31.0 €","Awalé en teck rouge","Jeu d’Awalé crocodile de Côte d’Ivoire","230.0 €","Awalé crocodile de Côte d'Ivoire","","","Mo fẹ́ eré awalé ṣé ẹ ń ta?"
"12","Recherche directe","Avez-vous des boucles d'oreilles peul ?","Bijoux","318, 307, 308","Boucles d’oreilles Peul du mali « fulani »","15.0 €","Boucles d'oreilles Peul fulani Mali","Boucles d’oreilles ethniques touareg : Chèchilla","48.0 €","Boucles d'oreilles touareg Chèchilla","Boucles d’oreilles ethniques touareg : Éventail","48.0 €","Boucles d'oreilles touareg Éventail","","","Ṣé ẹ ní àwọn afikọti Peul?"
"13","Recherche directe","Je cherche des rideaux en tissu africain.","Déco","682, 752, 764","Rideaux en tissu africain du Mali : bogolan","130.0 €","Rideaux bogolan du Mali","Rideaux en tissu africain du Mali : bogolan","130.0 €","Rideaux bogolan du Mali (bis)","Embrasse de rideaux africains avec une tortue sculptée Akan","20.0 €","Embrasse rideaux tortue Akan sculptée","","","Mo ń wá aṣọ ferese tí a fi aṣọ Afríkà ṣe."
"14","Recherche directe","Vous vendez des vêtements africains pour enfants ?","Enfant","122, 126, 123","Robe fillette en tissu africain : la petite Fez","26.0 €","Robe fillette la petite Fez","Ensemble chemise et short en wax unisexe  » Marius «","22.0 €","Ensemble chemise+short wax unisexe Marius","Ensemble Wax Bébé garçon « Bambino »","25.0 €","Ensemble bébé garçon Bambino wax","","","Ṣé ẹ ń tà aṣọ Afríkà fún ọmọ?"
"15","Recherche directe","Je voudrais une sculpture africaine en bois.","Art africain","222, 216, 291","Jumelle Vénavi Ewé du Togo","165.0 €","Statuette Vénavi Ewé du Togo – bois","Passeport Ewé en os du Togo","75.0 €","Passeport Ewé en os du Togo","Tabouret africain du Togo en bois dur à 3 pieds","170.0 €","Tabouret africain Togo bois dur à 3 pieds","","","Mo fẹ́ ere igi Afríkà."
"16","Recherche par besoin","J'ai besoin d'un cadeau original pour un anniversaire vous pouvez m'aider ?","Cadeau","288, 309, 99","Jeu d’Awalé en ébène et aubier","49.0 €","Jeu d'Awalé en ébène – cadeau ludique","Collier ethnique en cauris « Magie du cauris »","45.0 €","Collier cauris – bijou original","Boîte traditionnelle africaine en bambou","8.0 €","Boîte africaine bambou – décor abordable","./audio/Voix_001_recherche_par_besoin_16.m4a","","Mo nílò ẹ̀bùn àtọwọ́dá fún ọjọ́ ìbí ṣé ẹ lè ràn mí lọ́wọ́?"
"17","Recherche par besoin","Je veux décorer mon salon avec une touche africaine que conseillez-vous ?","Déco","291, 257, 682","Tabouret africain du Togo en bois dur à 3 pieds","170.0 €","Tabouret africain Togo – meuble déco","Crochet ou patère africain en bronze «Toucan»","30.0 €","Patère bronze Toucan pour salon","Rideaux en tissu africain du Mali : bogolan","130.0 €","Rideaux bogolan – touche africaine forte","","","Mo fẹ́ ṣe ọṣọ́ yàrá ìgbafẹ́ mi pẹ̀lú ara Afríkà kí ni ẹ ṣàbẹwò?"
"18","Recherche par besoin","J'ai un mariage africain le mois prochain j'ai besoin d'une tenue.","Cérémonie","1, 10, 3","Ensemble « Bayefall » en tissu africain bazin","240.0 €","Ensemble Bayefall 4 pièces – tenue de cérémonie","Ensemble 3 pièces « Zak-Vis-Bill » en bazin africain","240.0 €","Ensemble 3 pièces Zak-Vis-Bill bazin","Ensemble « Zakia B.B. » en bazin africain","145.0 €","Ensemble Zakia B.B. – jupe réversible cérémonie","./audio/Voix_001_recherche_par_besoin_18.m4a","","Mo ní ìgbéyàwó Afríkà oṣù tó ń bọ mo nílò aṣọ."
"19","Recherche par besoin","Je cherche quelque chose à offrir pour une naissance vous avez des idées ?","Enfant / Cadeau","117, 118, 116","Ensemble Bébé Fille en tissu africain « Betty »","25.0 €","Ensemble bébé fille Betty – cadeau naissance","Chausson de naissance  en tissu africain « Chatouno »","15.0 €","Chausson de naissance tissu africain","Protège-carnet de santé en tissu africain","20.0 €","Protège-carnet santé tissu africain","","","Mo ń wá ẹ̀bùn fún ìbí ọmọ ṣé ẹ ní ìmọ̀ràn?"
"20","Recherche par besoin","J'ai besoin d'un bijou qui aille avec une robe colorée pour une soirée.","Bijoux","309, 307, 312","Collier ethnique en cauris « Magie du cauris »","45.0 €","Collier cauris – accessoire soirée","Boucles d’oreilles ethniques touareg : Chèchilla","48.0 €","Boucles d'oreilles touareg Chèchilla","Collier africain du Mali « Sublime »","75.0 €","Collier Mali Sublime – bijou élégant","","","Mo nílò ọṣọ́ tí yóò bá aṣọ aláwọ̀ mu fún ayẹyẹ."
"21","Recherche par besoin","Je veux habiller ma fille de façon originale pour la rentrée scolaire.","Mode enfant","124, 128, 127","Robe fillette « Rosette » en pagne wax","30.0 €","Robe fillette Rosette pagne wax","Jupe fillette en tissu africain : ballerine","29.0 €","Jupe fillette ballerine tissu africain","Tunique enfant en tissu africain : Boubi","25.0 €","Tunique enfant Boubi tissu africain","","","Mo fẹ́ wọ ọmọbìnrin mi ní aṣọ àtọwọ́dá fún ilé-èkó."
"22","Recherche par besoin","J'aimerais redécorer ma chambre avec du linge africain c'est possible ?","Déco","735, 733, 739","Housse de couette en bazin","135.0 €","Housse de couette bazin – chambre africaine","Housse de couette en tissu africain wax","115.0 €","Housse de couette wax africain","Tête de lit en tissu africain bazin","30.0 €","Tête de lit tissu africain bazin","","","Mo fẹ́ tún yara mi ṣe pẹ̀lú aṣọ ilé Afríkà ṣé ó ṣeé ṣe?"
"23","Recherche par besoin","J'ai besoin d'un sac pratique pour emmener au bureau pas trop grand.","Bagagerie","565, 563, 105","Sac en tissu africain : Multi","45.0 €","Sac Multi tissu africain – taille bureau","Sac en tissu africain : Week-end","55.0 €","Sac Week-end tissu africain","Sac en tissu africain « Quevoulévous «","28.0 €","Sac Quevoulévous tissu africain","","","Mo nílò àpò kékeré tó rọrùn fún ọ́fíìsì."
"24","Recherche par besoin","Je prépare un dîner africain et je veux une nappe assortie.","Linge de table","741, 742, 744","Nappe africaine rectangle en wax","25.0 €","Nappe wax africaine rectangle","Nappe africaine carrée en bazin uni et contour teinté","56.0 €","Nappe bazin unie et contour teinté","Nappe en tissu africain calicot teint à la main","29.0 €","Nappe calicot teint à la main","","","o ń pèsè oúnjẹ Afríkà mo fẹ́ aṣọ tábìlì tó bá a mu."
"25","Recherche par besoin","Je veux quelque chose d'authentique à rapporter d'une boutique africaine comme souvenir.","Art africain","288, 301, 295","Jeu d’Awalé en ébène et aubier","49.0 €","Jeu d'Awalé ébène – souvenir artisanal","Caxixi ou maracas traditionnelle africaine","6.0 €","Caxixi maracas traditionnelle africaine","Boîte traditionnelle africaine en bambou","8.0 €","Boîte africaine bambou – souvenir déco","","","Mo fẹ́ ohun gidi Afríkà gẹ́gẹ́ bí ìrántí."
"26","Recherche par besoin","J'organise un événement afro et je cherche des tenues pour mes invités.","Mode","64, 84, 79","Chemise africaine traditionnelle « Dashiki »","38.0 €","Chemise Dashiki homme – tenue afro","Foulard ou pagne en tissu africain wax","19.0 €","Pagne wax – accessoire tenue afro","Bande de tissu africain kenté","38.0 €","Bande tissu kenté – touche africaine","","","Mo ń ṣètò ayẹyẹ Afríkà mo ń wá aṣọ fún alejo."
"27","Recherche par besoin","J'ai besoin de tissu pour confectionner moi-même une tenue.","Tissus","640, 596, 725","Tissu africain calicot blanc, bleu et marron, motifs Scarabée","48.0 €","Calicot blanc/bleu motif Scarabée – à coudre","Tissu teint à la main caramel, rouge et vert, motif brume","65.0 €","Bazin teinté caramel/rouge – à coudre","Tissu africain wax : vert blancs jaune au motif hirondelles noires","19.0 €","Wax vert/jaune motif hirondelles – à coudre","","","Mo nílò aṣọ láti hun aṣọ fúnra mi."
"28","Recherche par besoin","Mon fils a un spectacle de danse africaine il lui faut une tenue adaptée.","Mode enfant","126, 140, 130","Ensemble chemise et short en wax unisexe  » Marius «","22.0 €","Ensemble chemise+short wax unisexe Marius","Ensemble chemise et short en wax pour garçon : Marius","22.0 €","Ensemble chemise+short wax garçon Marius","Pantalon enfant en tissu africain wax « Augustin »","22.0 €","Pantalon enfant wax Augustin","","","Ọmọkùnrin mi ní eré ìjó Afríkà ó nílò aṣọ."
"29","Recherche par besoin","Je voudrais offrir un tableau ou une pièce d'art africain pour décorer un bureau.","Art africain","155, 157, 156","Batik africain : les pêcheurs au filet","28.0 €","Batik africain pêcheurs au filet – tableau déco","Batik africain : les pêcheurs et porteuses","32.0 €","Batik africain pêcheurs et porteuses","Batik africain : retour du marché","32.0 €","Batik africain retour du marché","","","Mo fẹ́ fi iṣẹ́ ọnà Afríkà ṣe ọṣọ́ ọ́fíìsì."
"30","Recherche par besoin","J'ai besoin d'une tenue légère mais élégante pour l'été.","Mode femme","25, 13, 33","Robe africaine « nouvelle aérienne »","80.0 €","Robe africaine nouvelle aérienne – légère","Robe en tissu africain «Moshi»","85.0 €","Robe Moshi courte tissu africain","Short africain femme « Fez »","55.0 €","Short africain femme Fez – estival","","","Mo nílò aṣọ fẹẹrẹ́ àti ẹlẹ́wà fún ooru."
"31","Recherche par besoin","Je cherche un cadeau pour ma mère qui aime les bijoux ethniques.","Bijoux / Cadeau","309, 312, 318","Collier ethnique en cauris « Magie du cauris »","45.0 €","Collier cauris – cadeau bijou ethnique","Collier africain du Mali « Sublime »","75.0 €","Collier Mali Sublime – bijou élégant","Boucles d’oreilles Peul du mali « fulani »","15.0 €","Boucles d'oreilles Peul – cadeau bijou","./audio/Voix_001_recherche_par_besoin_31.m4a","","Mo ń wá ẹ̀bùn fún ìyá mi tí ó fẹ́ràn ọṣọ́ Afríkà."
"32","Recherche par besoin","J'ai besoin de quelque chose pour animer une fête africaine avec des enfants.","Enfant","287, 300, 301","Jeu d’Awalé en teck rouge","31.0 €","Jeu d'Awalé teck rouge – jeu collectif","Tamtam africain Aka à deux boules","10.0 €","Tamtam Aka deux boules – musique enfants","Caxixi ou maracas traditionnelle africaine","6.0 €","Caxixi maracas – instrument enfants","","","Mo nílò nkan láti mú ayẹyẹ Afríkà dùn fún ọmọ."
"33","Recherche par besoin","Je veux mettre une touche colorée dans mon entrée sans trop dépenser.","Déco","732, 257, 82","Housse de coussin en tissu africain Wax","15.0 €","Housse coussin wax – touche colorée","Crochet ou patère africain en bronze «Toucan»","30.0 €","Patère bronze Toucan – décor petit prix","Foulard en tissu africain Calicot","12.0 €","Foulard calicot africain coloré","","","Mo fẹ́ fi awọ̀ kun ẹnu ilé láìná owó púpọ̀."
"34","Recherche par besoin","J'ai besoin d'un accessoire qui complète une tenue déjà très sobre.","Accessoires","80, 86, 88","Écharpe ou snood en tissu africain","38.0 €","Écharpe ou snood tissu africain","Tour de taille africain bin-bin baya « Fatou »","15.0 €","Tour de taille bin-bin baya Fatou","Ceinture en tissu africain  » Kim «","25.0 €","Ceinture tissu africain Kim","","","Mo nílò nkan tí yóò bá aṣọ tí kò ní awọ̀ mu."
"35","Recherche par besoin","Je cherche un cadeau pour un ami passionné par la culture africaine.","Cadeau","288, 302, 255","Jeu d’Awalé en ébène et aubier","49.0 €","Jeu d'Awalé ébène – passionné culture africaine","Maracas africaine en calebasse et graines","12.0 €","Maracas africaine calebasse et graines","Boite à poudre d’or du Ghana","55.0 €","Boite à poudre d'or du Ghana","","","Mo ń wá ẹ̀bùn fún ọ̀rẹ́ mi tó fẹ́ràn àṣà Afríkà."
"36","Question sur un produit","Ce tissu bazin est-il teinté à la main ?","Tissus","595, 597, 604","Tissu africain en bazin violet, jaune, orange et mauve, motif Boubou","65.0 €","Bazin violet/jaune – teinture artisanale main","Tissu teint à la main orange, rouge et crème, motif scarabée","65.0 €","Bazin caramel/rouge – teinture main","Tissu africain en bazin bleu foncé, gris, rouge et marron, motif boubou","65.0 €","Bazin bleu foncé/marron – teinture main","","","Ṣé aṣọ bazin yìí ni a fi ọwọ́ fà á?"
"37","Question sur un produit","La robe africaine est-elle disponible en grande taille ?","Mode femme","3, 6, 14","Ensemble « Zakia B.B. » en bazin africain","145.0 €","Ensemble Zakia – taille unique jusqu'au 44","Ensemble « B.B. Maé » en bazin africain","110.0 €","Ensemble B.B. Maé – du 36 au 52","Robe longue en tissu africain « Grace »","125.0 €","Robe longue Grace – grandes tailles disponibles","","","Ṣé aṣọ obìnrin Afríkà yìí wà ní ìwọn ńlá?"
"38","Question sur un produit","Ces boucles d'oreilles sont-elles fabriquées en métal hypoallergénique ?","Bijoux","306, 313, 318","Boucles d’oreilles en corne de zébu « Africa »","13.0 €","Boucles d'oreilles corne de zébu Africa","Boucles d’oreilles africaines Akan « demi-lune »","20.0 €","Boucles d'oreilles Akan demi-lune","Boucles d’oreilles Peul du mali « fulani »","15.0 €","Boucles d'oreilles Peul fulani Mali","","","Ṣé afikọti wọ̀nyí jẹ́ irin tí kò ní fa ìfarapa?"
"39","Question sur un produit","Est-ce que ce pagne wax est lavable en machine ?","Tissus","723, 725, 728","Tissu africain : jaune et turquoise au motif les arts taxi brousse","10.0 €","Pagne wax – entretien tissu wax","Tissu africain wax : vert blancs jaune au motif hirondelles noires","19.0 €","Wax vert/jaune hirondelles – entretien","Tissu wax bleu","19.0 €","Tissu wax bleu – entretien lavage","","","Ṣé a lè fọ aṣọ wax yìí nínú mátììnì?"
"40","Question sur un produit","Ce masque africain est-il une pièce artisanale originale ou une reproduction ?","Art africain","245, 242, 247","Petit masque « passeport » Dan de Côte d’Ivoire au bec","115.0 €","Masque Dan – pièce artisanale originale","Masque africain Baoulé de Côte d’Ivoire","320.0 €","Masque Baoulé – pièce authentique","Petit masque « passeport » Dan de Côte d’Ivoire","115.0 €","Masque Dan – authenticité","","","Ṣé iboju Afríkà yìí jẹ́ gidi tàbí àdàkọ?"
"41","Question sur un produit","Le sac à main en wax est-il solide pour un usage quotidien ?","Bagagerie","106, 108, 565","Sac à main en tissu africain « Delphine »","20.0 €","Sac à main Delphine tissu africain","Sac à main Grey bazin","28.0 €","Sac Grey bazin – usage quotidien","Sac en tissu africain : Multi","45.0 €","Sac Multi – résistance et praticité","","","Ṣé àpò wax yìí lagbara fún lílò ojoojúmọ́?"
"42","Question sur un produit","Ce bracelet en perles de verre est-il fabriqué en Afrique ?","Bijoux","319, 458, 317","Bracelet unicolore en perles de verre recyclées et sablée","12.0 €","Bracelet perles verre recyclées sablées","Bracelet africain en perles de verre recyclées « Translucide »","10.0 €","Bracelet perles verre recyclées Translucide","Lot de 20 bracelets en plastique recyclé du Mali « Mopti »","14.0 €","Bracelets plastique recyclé Mali Mopti","","","Ṣé àwọ̀n ọwọ́ ilẹkẹ̀ yìí ni a ṣe ní Afríkà?"
"43","Question sur un produit","La housse de couette en bogolan de quelle taille est-elle ?","Déco","735, 733, 738","Housse de couette en bazin","135.0 €","Housse couette bazin – taille standard","Housse de couette en tissu africain wax","115.0 €","Housse couette wax – taille standard","Couvre-lit en tissu africain","95.0 €","Couvre-lit tissu africain","","","Aṣọ ibora ibusun bogolan yìí ìwọn wo ni?"
"44","Question sur un produit","Est-ce que vous proposez ce dashiki en d'autres couleurs ?","Mode homme","64, 67, 69","Chemise africaine traditionnelle « Dashiki »","38.0 €","Chemise Dashiki – couleurs variées possibles","Chemise africaine homme en tissu africain : Koffi","80.0 €","Chemise africaine Koffi – variante tissu","Chemise Africaine homme en wax","75.0 €","Chemise africaine wax – autre coloris","./audio/Voix_001_question_sur_produit44.m4a","","Ṣé ẹ ní dashiki yìí ní àwọn awọ̀ mìíràn?"
"45","Question sur un produit","Ce tissu calicot combien de mètres sont nécessaires pour coudre une robe ?","Tissus","640, 643, 650","Tissu africain calicot blanc, bleu et marron, motifs Scarabée","48.0 €","Calicot blanc/bleu motif Scarabée – tissage robe","Tissu africain calicot vert émeraude, motif feuilles de palmier","48.0 €","Calicot vert émeraude – taillage robe","Tissu africain calicot blanc et rouge carmin, motif feuilles de palmier","48.0 €","Calicot blanc/rouge carmin – tissage robe","","","Mélòó ni aṣọ calicot tí mo nílò fún aṣọ?"
"46","Question sur un produit","La nappe africaine est-elle résistante aux taches ?","Linge de table","741, 742, 743","Nappe africaine rectangle en wax","25.0 €","Nappe wax – entretien et résistance","Nappe africaine carrée en bazin uni et contour teinté","56.0 €","Nappe bazin – taches et usage","Nappe en tissu africain bazin teint à la main","39.0 €","Nappe bazin teint à la main – résistance","","","Ṣé aṣọ tábìlì Afríkà yìí lè farada abawọn?"
"47","Question sur un produit","Ce collier en cauris peut-il se porter avec une tenue habillée ?","Bijoux","309, 315, 345","Collier ethnique en cauris « Magie du cauris »","45.0 €","Collier cauris Magie du cauris – habillé","Collier ethnique « Larmes de cauris » et cuir tressé","54.0 €","Collier Larmes de cauris et cuir tressé","Collier africain en cauris","35.0 €","Collier africain en cauris simple","","","Ṣé ẹ̀gba cauris yìí lè bá aṣọ àjọyọ̀ mu?"
"48","Question sur un produit","Le vêtement pour bébé est-il certifié sans produit chimique nocif ?","Enfant","117, 115, 118","Ensemble Bébé Fille en tissu africain « Betty »","25.0 €","Ensemble bébé fille Betty – tissu naturel","Pantalon africain bébé mixte « Baba »","10.0 €","Pantalon bébé mixte Baba – tissu naturel","Chausson de naissance  en tissu africain « Chatouno »","15.0 €","Chausson de naissance tissu africain – naturel","","","Ṣé aṣọ ọmọ yìí kò ní kemika tó lewu?"
"49","Question sur un produit","Cette sculpture en bronze quelle est son origine géographique exacte ?","Art africain","212, 256, 234","Tête en bronze d’Oni d’Ifé du Nigéria","720.0 €","Tête en bronze Oni d'Ifé – Nigéria","Léopard en bronze femelle de Bénin City au Nigéria","480.0 €","Léopard en bronze – Bénin City Nigéria","Tête en bronze d’Oni d’Ifé des Yorubas au Nigéria","720.0 €","Tête en bronze Oni d'Ifé Yorubas – Nigéria","./audio/Voix_001_question_sur_produit49.m4a","","Ibi wo ni ere bronze yìí ti wá gan-an?"
"50","Question sur un produit","Est-il possible de commander une tenue sur mesure pour un mariage ?","Cérémonie","1, 3, 10","Ensemble « Bayefall » en tissu africain bazin","240.0 €","Ensemble Bayefall – tenue mariage sur mesure","Ensemble « Zakia B.B. » en bazin africain","145.0 €","Ensemble Zakia – personnalisable mariage","Ensemble 3 pièces « Zak-Vis-Bill » en bazin africain","240.0 €","Ensemble 3 pièces Zak-Vis-Bill – grande occasion","","","Ṣé mo lè paṣẹ aṣọ tí a ṣe sí ìwọn fún ìgbéyàwó?"
